GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",3165,360,3060,302,0,132,0,132,70,107,0,132,16,27,19,32,19,32,0,132
1400000US06073000200,06073000200,"Census Tract 2, San Diego County, California",6117,370,5483,378,99,104,11,16,139,77,0,132,109,76,276,147,65,49,211,130
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",5279,488,4333,469,163,116,85,92,216,121,14,23,171,116,297,167,43,56,254,155
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3401,260,2593,319,158,114,0,132,242,157,0,132,270,158,138,90,0,132,138,90
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2727,272,2345,288,40,67,71,64,56,41,0,132,41,40,174,125,39,49,135,118
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2929,380,2351,279,79,69,91,104,203,84,27,41,73,74,105,89,14,22,91,86
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",3791,324,3110,343,103,128,80,102,342,256,0,132,117,72,39,36,15,25,24,27
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",4156,363,3202,366,182,115,34,47,406,169,40,64,121,77,171,121,13,19,158,118
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",4949,391,3607,453,384,232,65,63,299,191,39,62,371,328,184,121,145,116,39,34
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5503,929,4335,812,202,118,0,132,188,178,21,35,532,196,225,154,16,26,209,154
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3086,365,2524,417,151,116,34,47,62,42,0,132,160,93,155,84,21,32,134,77
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",5668,437,3744,521,445,217,15,25,420,162,0,132,983,486,61,65,23,39,38,52
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6480,562,3744,588,1077,296,310,309,354,146,0,132,559,270,436,238,93,70,343,215
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",2707,315,2241,303,124,62,0,132,62,45,64,85,46,49,170,127,39,45,131,96
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3970,331,2569,389,387,206,190,232,120,95,0,132,557,239,147,99,0,132,147,99
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5111,537,2617,557,860,294,362,365,471,420,0,132,516,248,285,159,164,136,121,101
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",4518,439,2769,690,783,384,28,46,178,194,0,132,589,384,171,95,0,132,171,95
