GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",55.9,5.1,56.6,6.2,55.1,7.4
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",46.4,2.2,43.3,6.3,47.2,5.3
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",35.8,2.3,37.0,4.5,33.8,2.4
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",38.7,5.0,42.1,3.2,34.0,6.8
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",34.0,3.0,35.3,3.0,32.6,2.9
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",36.9,2.9,38.8,5.2,36.8,1.7
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",41.7,2.8,43.0,3.6,40.6,3.9
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",39.9,4.9,40.0,6.9,38.7,7.8
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",43.1,5.3,42.0,9.2,43.6,4.7
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",35.4,2.6,37.2,5.0,34.0,2.7
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",32.8,1.8,32.9,2.9,32.6,2.3
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",32.8,1.4,32.3,1.8,33.5,1.4
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",35.7,2.7,38.3,5.6,34.6,4.5
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",31.6,1.4,32.5,1.8,30.3,2.0
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",39.7,2.7,41.8,2.0,36.2,3.8
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",35.9,2.1,36.4,1.4,32.8,6.0
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",32.3,4.2,30.7,4.9,33.0,5.8
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",33.2,2.7,34.2,4.7,32.8,2.0
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",31.2,1.4,32.0,2.9,30.2,2.9
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",43.4,1.7,43.0,1.8,44.2,3.0
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",50.7,1.3,48.7,2.7,52.1,3.8
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",38.9,2.7,38.3,6.9,39.1,7.5
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",36.5,2.5,36.8,2.3,35.6,5.8
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",26.0,2.4,26.5,3.6,25.5,2.4
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",28.0,3.2,27.1,4.9,29.6,5.3
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",30.0,1.6,29.0,2.2,32.1,5.6
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",27.2,3.2,28.2,3.4,26.4,3.7
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",30.0,1.5,29.5,1.3,33.2,3.6
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",25.9,2.1,23.8,3.3,30.1,4.1
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",30.4,4.7,26.9,3.1,35.4,3.4
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",31.9,2.7,30.0,3.0,33.2,6.6
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",26.6,3.1,28.5,3.8,25.4,2.9
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",25.9,2.6,26.3,4.9,25.8,2.9
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",28.4,0.8,28.3,0.7,28.7,3.2
