GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",113000,21763
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",99130,24891
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",77872,14547
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",58663,5537
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",61716,6898
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",57024,10760
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",62950,16523
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",57485,12732
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",41811,6142
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",46214,4406
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",54163,8131
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",50256,5015
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",42639,6102
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",41865,4592
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",61146,16557
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",51917,6791
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",37479,9373
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",46027,1429
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",42086,7196
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",74180,5421
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",123542,10799
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",78021,10300
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",48214,7111
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",32589,6906
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",22473,3784
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",30558,2811
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",19881,2952
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",42118,4064
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",33936,4043
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",48886,5844
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",47099,5777
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",32939,4775
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",39846,5199
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",47445,11103
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",52440,11312
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",52371,8902
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",31732,9474
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",23081,3310
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",30147,7345
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",40353,3905
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",46136,17149
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",41167,6803
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",25236,7897
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",49111,6269
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",56806,8293
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",42099,15106
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",61979,14046
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",31092,9446
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",55560,11430
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",43378,5758
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",60882,17653
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",42723,7313
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",55640,12341
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",57429,9202
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",57586,14333
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",55565,4101
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",56500,10292
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",85568,10232
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",45025,7924
1400000US06073003112,06073003112,"Census Tract 31.12, San Diego County, California",57577,7635
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",73004,12079
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",79367,3738
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",48333,6105
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",52297,5079
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",50786,9922
1400000US06073003204,06073003204,"Census Tract 32.04, San Diego County, California",83529,18358
1400000US06073003207,06073003207,"Census Tract 32.07, San Diego County, California",69201,12083
1400000US06073003208,06073003208,"Census Tract 32.08, San Diego County, California",53543,12227
1400000US06073003209,06073003209,"Census Tract 32.09, San Diego County, California",50056,6124
1400000US06073003211,06073003211,"Census Tract 32.11, San Diego County, California",58684,6977
1400000US06073003212,06073003212,"Census Tract 32.12, San Diego County, California",78452,7609
1400000US06073003213,06073003213,"Census Tract 32.13, San Diego County, California",89753,5832
1400000US06073003214,06073003214,"Census Tract 32.14, San Diego County, California",70368,9829
1400000US06073003301,06073003301,"Census Tract 33.01, San Diego County, California",25846,3062
1400000US06073003303,06073003303,"Census Tract 33.03, San Diego County, California",34671,5191
1400000US06073003304,06073003304,"Census Tract 33.04, San Diego County, California",35409,7003
1400000US06073003305,06073003305,"Census Tract 33.05, San Diego County, California",21122,4114
1400000US06073003401,06073003401,"Census Tract 34.01, San Diego County, California",50335,6153
1400000US06073003403,06073003403,"Census Tract 34.03, San Diego County, California",43571,9899
1400000US06073003404,06073003404,"Census Tract 34.04, San Diego County, California",38705,4003
1400000US06073003501,06073003501,"Census Tract 35.01, San Diego County, California",32138,5134
1400000US06073003502,06073003502,"Census Tract 35.02, San Diego County, California",29667,7271
1400000US06073003601,06073003601,"Census Tract 36.01, San Diego County, California",26090,7229
1400000US06073003602,06073003602,"Census Tract 36.02, San Diego County, California",29875,7249
1400000US06073003603,06073003603,"Census Tract 36.03, San Diego County, California",32266,5047
1400000US06073003800,06073003800,"Census Tract 38, San Diego County, California",-,**
1400000US06073003901,06073003901,"Census Tract 39.01, San Diego County, California",24069,1724
1400000US06073003902,06073003902,"Census Tract 39.02, San Diego County, California",34970,6273
1400000US06073004000,06073004000,"Census Tract 40, San Diego County, California",25101,5618
1400000US06073004100,06073004100,"Census Tract 41, San Diego County, California",39769,2655
1400000US06073004200,06073004200,"Census Tract 42, San Diego County, California",87982,8070
1400000US06073004300,06073004300,"Census Tract 43, San Diego County, California",70367,9628
1400000US06073004400,06073004400,"Census Tract 44, San Diego County, California",59133,9528
1400000US06073004501,06073004501,"Census Tract 45.01, San Diego County, California",47625,7917
1400000US06073004600,06073004600,"Census Tract 46, San Diego County, California",44000,5971
1400000US06073004700,06073004700,"Census Tract 47, San Diego County, California",28859,5060
1400000US06073004800,06073004800,"Census Tract 48, San Diego County, California",37059,5102
1400000US06073004900,06073004900,"Census Tract 49, San Diego County, California",25915,3239
1400000US06073005000,06073005000,"Census Tract 50, San Diego County, California",24637,4612
1400000US06073005100,06073005100,"Census Tract 51, San Diego County, California",25221,7602
1400000US06073005200,06073005200,"Census Tract 52, San Diego County, California",32699,9014
1400000US06073005300,06073005300,"Census Tract 53, San Diego County, California",37338,11248
1400000US06073005400,06073005400,"Census Tract 54, San Diego County, California",84592,11925
1400000US06073005500,06073005500,"Census Tract 55, San Diego County, California",-,**
1400000US06073005600,06073005600,"Census Tract 56, San Diego County, California",64901,9113
1400000US06073005700,06073005700,"Census Tract 57, San Diego County, California",38147,12721
