"id","date","year","month","day","week","dow","time","hour","is_night","type","address","city","segment_id","nbrhood","community","comm_pop","council","council_pop","asr_zone","lampdist","lat","lon","desc","gctype","gcquality"
"","2013-07-07",2013,7,4936,26,0,"00:00:00",0,1,"","NONE","SndSDO",-1,"NONE","NONE",0,"NONE",0,"","",0.0,0.0,"","NONE",-1
"","2013-07-07",2013,7,4936,26,0,"00:00:00",0,1,"","NONE","SndSDO",-1,"NONE","NONE",0,"NONE",0,"","",0.0,0.0,"","NONE",-1
"","2013-07-07",2013,7,4936,26,0,"00:00:00",0,1,"","NONE","SndSDO",-1,"NONE","NONE",0,"NONE",0,"","",0.0,0.0,"","NONE",-1
"","2013-07-07",2013,7,4936,26,0,"00:00:00",0,1,"","NONE","SndSDO",-1,"NONE","NONE",0,"NONE",0,"","",0.0,0.0,"","NONE",-1
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"ASSAULT","10000  Block Rio San Diego Drive","SndSAN",179314,"SanSSI","SanMSS",18947,"San007",147442,3,6324,32.7779595997,-117.131886621,"CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"BURGLARY","700 S  Block 38Th Street","SndSAN",4883,"SanMON","SanSOT",57358,"San009",145045,2,1414,32.6987226033,-117.112484588,"RESIDENTIAL BURGLARY","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"BURGLARY","5000  Block Reynolds Street","SndSAN",54971,"SanLNC","SanENC",47361,"San004",142911,1,1414,32.6945080325,-117.086516283,"RESIDENTIAL BURGLARY","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"FRAUD","2200 E  Block Division Street","SndNAT",24667,"NONE","NONE",0,"NONE",0,"","",32.6891806809,-117.086426736,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"FRAUD","3000 E  Block 04Th Street","SndNAT",1357,"NONE","NONE",0,"NONE",0,"","",32.6880445523,-117.077000159,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"FRAUD","7000  Block Springford Avenue","SndSAN",59026,"SanSKL","SanSKY",67273,"San004",142911,1,3162,32.7062748133,-117.044893431,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"FRAUD","5200  Block Triple Crown Row","SndSDO",110154,"NONE","NONE",0,"NONE",0,"","",33.2941168862,-117.227240868,"FRAUD","cns/segment",35
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"FRAUD","8700  Block Ginger Snap Lane","SndSAN",74804,"SanRNC","SanRNC",42779,"San006",140738,1,7000,32.9494578737,-117.138014073,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"THEFT/LARCENY","4000  Block Everts Street","SndSAN",28262,"SanPCF","SanPCF",39849,"San002",142456,1,2236,32.7919046556,-117.246170506,"PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"VEHICLE BREAK-IN/THEFT","7600  Block Seattle Drive","SndLAM",167952,"NONE","NONE",0,"NONE",0,"","",32.7511498112,-117.033685349,"VEHICLE BREAK-IN/THEFT","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:00:00",0,1,"VEHICLE BREAK-IN/THEFT","700  Block Kingswood Street","SndSAN",32586,"SanBAT","SanSKY",67273,"San004",142911,1,0,32.6903876035,-117.044751778,"VEHICLE BREAK-IN/THEFT","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:01:00",0,1,"FRAUD","1300  Block Morning View Drive","SndESC",83695,"NONE","NONE",0,"NONE",0,"","",33.1374896312,-117.095967647,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:01:00",0,1,"FRAUD","4700  Block Mayflower Way","SndOCN",56827,"NONE","NONE",0,"NONE",0,"","",33.2404442858,-117.301004233,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:01:00",0,1,"FRAUD","2000  Block Capri Court","SndSDO",83326,"NONE","NONE",0,"NONE",0,"","",32.755054784,-116.914574238,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:01:00",0,1,"FRAUD","7500  Block Plein Aire","SndSAN",162867,"SanBLA","SanBLA",6653,"San005",143957,1,12000,32.9955082637,-117.166793475,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:01:00",0,1,"FRAUD","3200  Block West Canyon Avenue","SndSAN",154283,"SanSER","SanKER",6417,"San007",147442,4,2000,32.8031860269,-117.120908823,"FRAUD","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:01:00",0,1,"SEX CRIMES","28700  Block Cole Grade Road","SndSDO",161757,"NONE","NONE",0,"NONE",0,"","",33.2348953365,-117.024029361,"OTHER SEX CRIME","cns/segment",65
"","2013-04-01",2013,4,4839,13,1,"00:04:00",0,1,"VANDALISM","9400  Block Ruffin Court","SndSAN",35279,"SanKER","SanKER",6417,"San006",140738,7,9055,32.8287191313,-117.124144594,"VANDALISM ($400 OR MORE)","cns/segment",65
