TRACT,YEAR,ETHNICITY,POPULATION
1,2012,American Indian,15
1,2012,Asian,74
1,2012,Black,23
1,2012,Hispanic,270
1,2012,Other,1
1,2012,Pacific Islander,3
1,2012,Two or More,53
1,2012,White,2591
1,2020,American Indian,6
1,2020,Asian,56
1,2020,Black,30
1,2020,Hispanic,378
1,2020,Other,0
1,2020,Pacific Islander,5
1,2020,Two or More,47
1,2020,White,2485
1,2025,American Indian,3
1,2025,Asian,45
1,2025,Black,35
1,2025,Hispanic,471
1,2025,Other,0
1,2025,Pacific Islander,3
1,2025,Two or More,43
1,2025,White,2450
1,2030,American Indian,1
1,2030,Asian,47
1,2030,Black,38
1,2030,Hispanic,549
1,2030,Other,0
1,2030,Pacific Islander,3
1,2030,Two or More,30
1,2030,White,2429
1,2035,American Indian,0
1,2035,Asian,47
1,2035,Black,33
1,2035,Hispanic,613
1,2035,Other,0
1,2035,Pacific Islander,9
1,2035,Two or More,27
1,2035,White,2360
1,2040,American Indian,0
1,2040,Asian,48
1,2040,Black,27
1,2040,Hispanic,691
1,2040,Other,3
1,2040,Pacific Islander,6
1,2040,Two or More,12
1,2040,White,2331
1,2045,American Indian,0
1,2045,Asian,36
1,2045,Black,26
1,2045,Hispanic,767
1,2045,Other,5
1,2045,Pacific Islander,6
1,2045,Two or More,11
1,2045,White,2271
1,2050,American Indian,0
1,2050,Asian,32
1,2050,Black,20
1,2050,Hispanic,863
1,2050,Other,7
1,2050,Pacific Islander,8
1,2050,Two or More,9
1,2050,White,2260
10,2012,American Indian,9
10,2012,Asian,258
10,2012,Black,313
10,2012,Hispanic,1290
10,2012,Other,25
10,2012,Pacific Islander,22
10,2012,Two or More,190
10,2012,White,2689
10,2020,American Indian,8
10,2020,Asian,295
10,2020,Black,328
10,2020,Hispanic,1671
10,2020,Other,21
10,2020,Pacific Islander,29
10,2020,Two or More,214
10,2020,White,2686
10,2025,American Indian,6
10,2025,Asian,313
10,2025,Black,304
10,2025,Hispanic,1859
10,2025,Other,18
10,2025,Pacific Islander,33
10,2025,Two or More,222
10,2025,White,2535
10,2030,American Indian,6
10,2030,Asian,386
10,2030,Black,318
10,2030,Hispanic,2235
10,2030,Other,20
10,2030,Pacific Islander,43
10,2030,Two or More,266
10,2030,White,2712
10,2035,American Indian,7
10,2035,Asian,426
10,2035,Black,301
10,2035,Hispanic,2443
10,2035,Other,20
10,2035,Pacific Islander,49
10,2035,Two or More,292
10,2035,White,2630
10,2040,American Indian,6
10,2040,Asian,475
10,2040,Black,292
10,2040,Hispanic,2707
10,2040,Other,20
10,2040,Pacific Islander,57
10,2040,Two or More,325
10,2040,White,2650
10,2045,American Indian,6
10,2045,Asian,513
10,2045,Black,279
10,2045,Hispanic,2955
10,2045,Other,20
10,2045,Pacific Islander,64
10,2045,Two or More,352
10,2045,White,2611
10,2050,American Indian,6
10,2050,Asian,514
10,2050,Black,250
10,2050,Hispanic,3053
10,2050,Other,18
10,2050,Pacific Islander,67
10,2050,Two or More,356
10,2050,White,2468
100.01,2012,American Indian,3
100.01,2012,Asian,717
100.01,2012,Black,125
100.01,2012,Hispanic,2653
100.01,2012,Other,6
100.01,2012,Pacific Islander,27
100.01,2012,Two or More,120
100.01,2012,White,462
100.01,2020,American Indian,0
100.01,2020,Asian,622
100.01,2020,Black,103
100.01,2020,Hispanic,2932
100.01,2020,Other,2
100.01,2020,Pacific Islander,25
100.01,2020,Two or More,108
100.01,2020,White,370
100.01,2025,American Indian,0
100.01,2025,Asian,627
100.01,2025,Black,101
100.01,2025,Hispanic,2981
100.01,2025,Other,1
100.01,2025,Pacific Islander,17
100.01,2025,Two or More,107
100.01,2025,White,313
100.01,2030,American Indian,0
100.01,2030,Asian,658
100.01,2030,Black,104
100.01,2030,Hispanic,3012
100.01,2030,Other,1
100.01,2030,Pacific Islander,16
100.01,2030,Two or More,110
100.01,2030,White,271
100.01,2035,American Indian,0
100.01,2035,Asian,679
100.01,2035,Black,104
100.01,2035,Hispanic,3047
100.01,2035,Other,1
100.01,2035,Pacific Islander,13
100.01,2035,Two or More,113
100.01,2035,White,222
100.01,2040,American Indian,0
100.01,2040,Asian,681
100.01,2040,Black,102
100.01,2040,Hispanic,3094
100.01,2040,Other,0
100.01,2040,Pacific Islander,7
100.01,2040,Two or More,110
100.01,2040,White,158
100.01,2045,American Indian,0
100.01,2045,Asian,672
100.01,2045,Black,101
100.01,2045,Hispanic,3155
100.01,2045,Other,0
100.01,2045,Pacific Islander,0
100.01,2045,Two or More,104
100.01,2045,White,105
100.01,2050,American Indian,0
100.01,2050,Asian,649
100.01,2050,Black,97
100.01,2050,Hispanic,3238
100.01,2050,Other,0
100.01,2050,Pacific Islander,0
100.01,2050,Two or More,100
100.01,2050,White,60
100.03,2012,American Indian,12
100.03,2012,Asian,982
100.03,2012,Black,193
100.03,2012,Hispanic,3926
100.03,2012,Other,1
100.03,2012,Pacific Islander,46
100.03,2012,Two or More,162
100.03,2012,White,645
100.03,2020,American Indian,7
100.03,2020,Asian,846
100.03,2020,Black,159
100.03,2020,Hispanic,4289
100.03,2020,Other,1
100.03,2020,Pacific Islander,39
100.03,2020,Two or More,153
100.03,2020,White,515
100.03,2025,American Indian,1
100.03,2025,Asian,852
100.03,2025,Black,156
100.03,2025,Hispanic,4371
100.03,2025,Other,1
100.03,2025,Pacific Islander,33
100.03,2025,Two or More,153
100.03,2025,White,436
100.03,2030,American Indian,0
100.03,2030,Asian,892
100.03,2030,Black,157
100.03,2030,Hispanic,4434
100.03,2030,Other,1
100.03,2030,Pacific Islander,30
100.03,2030,Two or More,159
100.03,2030,White,375
100.03,2035,American Indian,0
100.03,2035,Asian,923
100.03,2035,Black,155
100.03,2035,Hispanic,4508
100.03,2035,Other,1
100.03,2035,Pacific Islander,26
100.03,2035,Two or More,164
100.03,2035,White,305
100.03,2040,American Indian,0
100.03,2040,Asian,926
100.03,2040,Black,149
100.03,2040,Hispanic,4576
100.03,2040,Other,1
100.03,2040,Pacific Islander,23
100.03,2040,Two or More,164
100.03,2040,White,225
100.03,2045,American Indian,0
100.03,2045,Asian,911
100.03,2045,Black,142
100.03,2045,Hispanic,4665
100.03,2045,Other,0
100.03,2045,Pacific Islander,17
100.03,2045,Two or More,164
100.03,2045,White,150
100.03,2050,American Indian,0
100.03,2050,Asian,884
100.03,2050,Black,137
100.03,2050,Hispanic,4788
100.03,2050,Other,0
100.03,2050,Pacific Islander,10
100.03,2050,Two or More,160
100.03,2050,White,87
100.04,2012,American Indian,4
100.04,2012,Asian,488
100.04,2012,Black,106
100.04,2012,Hispanic,3679
100.04,2012,Other,2
100.04,2012,Pacific Islander,24
100.04,2012,Two or More,76
100.04,2012,White,348
100.04,2020,American Indian,2
100.04,2020,Asian,411
100.04,2020,Black,85
100.04,2020,Hispanic,3913
100.04,2020,Other,0
100.04,2020,Pacific Islander,21
100.04,2020,Two or More,71
100.04,2020,White,271
100.04,2025,American Indian,1
100.04,2025,Asian,409
100.04,2025,Black,82
100.04,2025,Hispanic,3958
100.04,2025,Other,0
100.04,2025,Pacific Islander,17
100.04,2025,Two or More,69
100.04,2025,White,231
100.04,2030,American Indian,0
100.04,2030,Asian,428
100.04,2030,Black,82
100.04,2030,Hispanic,4002
100.04,2030,Other,0
100.04,2030,Pacific Islander,14
100.04,2030,Two or More,72
100.04,2030,White,199
100.04,2035,American Indian,0
100.04,2035,Asian,437
100.04,2035,Black,82
100.04,2035,Hispanic,4036
100.04,2035,Other,0
100.04,2035,Pacific Islander,12
100.04,2035,Two or More,75
100.04,2035,White,162
100.04,2040,American Indian,0
100.04,2040,Asian,434
100.04,2040,Black,79
100.04,2040,Hispanic,4069
100.04,2040,Other,0
100.04,2040,Pacific Islander,9
100.04,2040,Two or More,75
100.04,2040,White,121
100.04,2045,American Indian,0
100.04,2045,Asian,423
100.04,2045,Black,76
100.04,2045,Hispanic,4113
100.04,2045,Other,0
100.04,2045,Pacific Islander,8
100.04,2045,Two or More,73
100.04,2045,White,83
100.04,2050,American Indian,0
100.04,2050,Asian,406
100.04,2050,Black,73
100.04,2050,Hispanic,4175
100.04,2050,Other,0
100.04,2050,Pacific Islander,7
100.04,2050,Two or More,72
100.04,2050,White,51
100.05,2012,American Indian,1
100.05,2012,Asian,222
100.05,2012,Black,61
100.05,2012,Hispanic,6829
100.05,2012,Other,1
100.05,2012,Pacific Islander,25
100.05,2012,Two or More,56
100.05,2012,White,171
100.05,2020,American Indian,1
100.05,2020,Asian,190
100.05,2020,Black,51
100.05,2020,Hispanic,7418
100.05,2020,Other,1
100.05,2020,Pacific Islander,22
100.05,2020,Two or More,51
100.05,2020,White,135
100.05,2025,American Indian,1
100.05,2025,Asian,203
100.05,2025,Black,53
100.05,2025,Hispanic,8019
100.05,2025,Other,1
100.05,2025,Pacific Islander,20
100.05,2025,Two or More,54
100.05,2025,White,121
100.05,2030,American Indian,1
100.05,2030,Asian,228
100.05,2030,Black,58
100.05,2030,Hispanic,8769
100.05,2030,Other,1
100.05,2030,Pacific Islander,19
100.05,2030,Two or More,61
100.05,2030,White,112
100.05,2035,American Indian,0
100.05,2035,Asian,232
100.05,2035,Black,57
100.05,2035,Hispanic,8798
100.05,2035,Other,1
100.05,2035,Pacific Islander,16
100.05,2035,Two or More,63
100.05,2035,White,90
100.05,2040,American Indian,0
100.05,2040,Asian,230
100.05,2040,Black,54
100.05,2040,Hispanic,8840
100.05,2040,Other,1
100.05,2040,Pacific Islander,14
100.05,2040,Two or More,62
100.05,2040,White,66
100.05,2045,American Indian,0
