TRACT,YEAR,UNIT TYPE,UNITS,OCCUPIED,UNOCCUPIED,VACANCY RATE
1,2012,Mobile Home,0,0,0,
1,2012,Multifamily,51,51,0,0
1,2012,Single Family - Detached,1283,1283,0,0
1,2020,Mobile Home,0,0,0,
1,2020,Multifamily,51,51,0,0
1,2020,Single Family - Detached,1283,1269,14,0.0109119251753702
1,2025,Mobile Home,0,0,0,
1,2025,Multifamily,51,51,0,0
1,2025,Single Family - Detached,1283,1276,7,0.00545596258768511
1,2030,Mobile Home,0,0,0,
1,2030,Multifamily,55,53,2,0.0363636363636364
1,2030,Single Family - Detached,1283,1269,14,0.0109119251753702
1,2035,Mobile Home,0,0,0,
1,2035,Multifamily,55,51,4,0.0727272727272727
1,2035,Single Family - Detached,1283,1270,13,0.0101325019485581
1,2040,Mobile Home,0,0,0,
1,2040,Multifamily,55,50,5,0.0909090909090909
1,2040,Single Family - Detached,1283,1268,15,0.0116913484021824
1,2045,Mobile Home,0,0,0,
1,2045,Multifamily,65,56,9,0.138461538461538
1,2045,Single Family - Detached,1281,1252,29,0.0226385636221702
1,2050,Mobile Home,0,0,0,
1,2050,Multifamily,89,82,7,0.0786516853932584
1,2050,Single Family - Detached,1281,1250,31,0.024199843871975
10,2012,Mobile Home,0,0,0,
10,2012,Multifamily,1722,1684,38,0.0220673635307782
10,2012,Single Family - Detached,933,906,27,0.0289389067524116
10,2020,Mobile Home,0,0,0,
10,2020,Multifamily,1898,1841,57,0.030031612223393
10,2020,Single Family - Detached,937,910,27,0.0288153681963714
10,2025,Mobile Home,0,0,0,
10,2025,Multifamily,1958,1906,52,0.0265577119509704
10,2025,Single Family - Detached,891,867,24,0.0269360269360269
10,2030,Mobile Home,0,0,0,
10,2030,Multifamily,2590,2556,34,0.0131274131274131
10,2030,Single Family - Detached,583,575,8,0.0137221269296741
10,2035,Mobile Home,0,0,0,
10,2035,Multifamily,2819,2786,33,0.0117062788222774
10,2035,Single Family - Detached,459,454,5,0.0108932461873638
10,2040,Mobile Home,0,0,0,
10,2040,Multifamily,3093,3057,36,0.011639185257032
10,2040,Single Family - Detached,377,375,2,0.00530503978779841
10,2045,Mobile Home,0,0,0,
10,2045,Multifamily,3263,3204,59,0.0180815200735519
10,2045,Single Family - Detached,366,361,5,0.0136612021857923
10,2050,Mobile Home,0,0,0,
10,2050,Multifamily,3263,3163,100,0.0306466441924609
10,2050,Single Family - Detached,366,360,6,0.0163934426229508
100.01,2012,Mobile Home,0,0,0,
100.01,2012,Multifamily,228,193,35,0.153508771929825
100.01,2012,Single Family - Detached,894,883,11,0.0123042505592841
100.01,2020,Mobile Home,0,0,0,
100.01,2020,Multifamily,230,195,35,0.152173913043478
100.01,2020,Single Family - Detached,894,883,11,0.0123042505592841
100.01,2025,Mobile Home,0,0,0,
100.01,2025,Multifamily,230,195,35,0.152173913043478
100.01,2025,Single Family - Detached,894,884,10,0.0111856823266219
100.01,2030,Mobile Home,0,0,0,
100.01,2030,Multifamily,230,194,36,0.156521739130435
100.01,2030,Single Family - Detached,894,884,10,0.0111856823266219
100.01,2035,Mobile Home,0,0,0,
100.01,2035,Multifamily,230,190,40,0.173913043478261
100.01,2035,Single Family - Detached,894,885,9,0.0100671140939597
100.01,2040,Mobile Home,0,0,0,
100.01,2040,Multifamily,230,188,42,0.182608695652174
100.01,2040,Single Family - Detached,894,883,11,0.0123042505592841
100.01,2045,Mobile Home,0,0,0,
100.01,2045,Multifamily,230,185,45,0.195652173913043
100.01,2045,Single Family - Detached,894,883,11,0.0123042505592841
100.01,2050,Mobile Home,0,0,0,
100.01,2050,Multifamily,230,183,47,0.204347826086957
100.01,2050,Single Family - Detached,894,883,11,0.0123042505592841
100.03,2012,Mobile Home,0,0,0,
100.03,2012,Multifamily,0,0,0,
100.03,2012,Single Family - Detached,1478,1450,28,0.0189445196211096
100.03,2020,Mobile Home,0,0,0,
100.03,2020,Multifamily,0,0,0,
100.03,2020,Single Family - Detached,1478,1450,28,0.0189445196211096
100.03,2025,Mobile Home,0,0,0,
100.03,2025,Multifamily,0,0,0,
100.03,2025,Single Family - Detached,1478,1450,28,0.0189445196211096
100.03,2030,Mobile Home,0,0,0,
100.03,2030,Multifamily,0,0,0,
100.03,2030,Single Family - Detached,1478,1450,28,0.0189445196211096
100.03,2035,Mobile Home,0,0,0,
100.03,2035,Multifamily,0,0,0,
100.03,2035,Single Family - Detached,1478,1451,27,0.0182679296346414
100.03,2040,Mobile Home,0,0,0,
100.03,2040,Multifamily,0,0,0,
100.03,2040,Single Family - Detached,1478,1450,28,0.0189445196211096
100.03,2045,Mobile Home,0,0,0,
100.03,2045,Multifamily,0,0,0,
100.03,2045,Single Family - Detached,1478,1450,28,0.0189445196211096
100.03,2050,Mobile Home,0,0,0,
100.03,2050,Multifamily,0,0,0,
100.03,2050,Single Family - Detached,1478,1450,28,0.0189445196211096
100.04,2012,Mobile Home,0,0,0,
100.04,2012,Multifamily,0,0,0,
100.04,2012,Single Family - Detached,1096,1089,7,0.00638686131386861
100.04,2020,Mobile Home,0,0,0,
100.04,2020,Multifamily,0,0,0,
100.04,2020,Single Family - Detached,1096,1089,7,0.00638686131386861
100.04,2025,Mobile Home,0,0,0,
100.04,2025,Multifamily,0,0,0,
100.04,2025,Single Family - Detached,1096,1089,7,0.00638686131386861
100.04,2030,Mobile Home,0,0,0,
100.04,2030,Multifamily,0,0,0,
100.04,2030,Single Family - Detached,1096,1089,7,0.00638686131386861
100.04,2035,Mobile Home,0,0,0,
100.04,2035,Multifamily,0,0,0,
100.04,2035,Single Family - Detached,1096,1089,7,0.00638686131386861
100.04,2040,Mobile Home,0,0,0,
100.04,2040,Multifamily,0,0,0,
100.04,2040,Single Family - Detached,1096,1089,7,0.00638686131386861
100.04,2045,Mobile Home,0,0,0,
100.04,2045,Multifamily,0,0,0,
100.04,2045,Single Family - Detached,1096,1089,7,0.00638686131386861
100.04,2050,Mobile Home,0,0,0,
100.04,2050,Multifamily,0,0,0,
100.04,2050,Single Family - Detached,1096,1089,7,0.00638686131386861
100.05,2012,Mobile Home,90,90,0,0
100.05,2012,Multifamily,1034,1034,0,0
100.05,2012,Single Family - Detached,824,824,0,0
100.05,2020,Mobile Home,90,90,0,0
100.05,2020,Multifamily,1146,1146,0,0
100.05,2020,Single Family - Detached,821,821,0,0
100.05,2025,Mobile Home,90,90,0,0
100.05,2025,Multifamily,1304,1304,0,0
100.05,2025,Single Family - Detached,821,821,0,0
100.05,2030,Mobile Home,90,90,0,0
100.05,2030,Multifamily,1514,1513,1,0.000660501981505945
100.05,2030,Single Family - Detached,806,806,0,0
100.05,2035,Mobile Home,90,90,0,0
100.05,2035,Multifamily,1527,1524,3,0.00196463654223969
100.05,2035,Single Family - Detached,806,806,0,0
100.05,2040,Mobile Home,90,90,0,0
100.05,2040,Multifamily,1527,1521,6,0.00392927308447937
100.05,2040,Single Family - Detached,823,822,1,0.00121506682867558
100.05,2045,Mobile Home,90,90,0,0
100.05,2045,Multifamily,1527,1519,8,0.00523903077930583
100.05,2045,Single Family - Detached,823,821,2,0.00243013365735115
100.05,2050,Mobile Home,90,88,2,0.0222222222222222
100.05,2050,Multifamily,1527,1518,9,0.00589390962671906
100.05,2050,Single Family - Detached,823,821,2,0.00243013365735115
100.09,2012,Mobile Home,132,132,0,0
100.09,2012,Multifamily,1019,968,51,0.0500490677134446
100.09,2012,Single Family - Detached,554,551,3,0.00541516245487365
100.09,2020,Mobile Home,132,132,0,0
100.09,2020,Multifamily,1018,971,47,0.0461689587426326
100.09,2020,Single Family - Detached,551,548,3,0.00544464609800363
100.09,2025,Mobile Home,132,132,0,0
100.09,2025,Multifamily,1015,975,40,0.0394088669950739
100.09,2025,Single Family - Detached,551,549,2,0.00362976406533575
100.09,2030,Mobile Home,132,131,1,0.00757575757575758
100.09,2030,Multifamily,1068,1025,43,0.0402621722846442
100.09,2030,Single Family - Detached,551,549,2,0.00362976406533575
100.09,2035,Mobile Home,132,131,1,0.00757575757575758
100.09,2035,Multifamily,1065,1025,40,0.0375586854460094
100.09,2035,Single Family - Detached,551,549,2,0.00362976406533575
100.09,2040,Mobile Home,123,122,1,0.00813008130081301
100.09,2040,Multifamily,1234,1183,51,0.0413290113452188
100.09,2040,Single Family - Detached,549,546,3,0.00546448087431694
100.09,2045,Mobile Home,9,8,1,0.111111111111111
100.09,2045,Multifamily,1470,1405,65,0.0442176870748299
100.09,2045,Single Family - Detached,542,539,3,0.00553505535055351
100.09,2050,Mobile Home,9,8,1,0.111111111111111
100.09,2050,Multifamily,1470,1404,66,0.0448979591836735
100.09,2050,Single Family - Detached,539,536,3,0.00556586270871985
100.10,2012,Mobile Home,396,396,0,0
100.10,2012,Multifamily,731,726,5,0.00683994528043776
100.10,2012,Single Family - Detached,564,564,0,0
100.10,2020,Mobile Home,396,396,0,0
100.10,2020,Multifamily,731,724,7,0.00957592339261286
100.10,2020,Single Family - Detached,564,563,1,0.00177304964539007
100.10,2025,Mobile Home,396,396,0,0
100.10,2025,Multifamily,731,724,7,0.00957592339261286
100.10,2025,Single Family - Detached,564,564,0,0
100.10,2030,Mobile Home,269,268,1,0.00371747211895911
100.10,2030,Multifamily,1052,1034,18,0.0171102661596958
100.10,2030,Single Family - Detached,564,563,1,0.00177304964539007
100.10,2035,Mobile Home,0,0,0,
100.10,2035,Multifamily,1642,1609,33,0.0200974421437272
100.10,2035,Single Family - Detached,564,564,0,0
100.10,2040,Mobile Home,0,0,0,
100.10,2040,Multifamily,1642,1601,41,0.0249695493300853
100.10,2040,Single Family - Detached,564,562,2,0.00354609929078014
100.10,2045,Mobile Home,0,0,0,
100.10,2045,Multifamily,1642,1591,51,0.0310596833130329
100.10,2045,Single Family - Detached,564,561,3,0.00531914893617021
100.10,2050,Mobile Home,0,0,0,
100.10,2050,Multifamily,1642,1587,55,0.0334957369062119
100.10,2050,Single Family - Detached,564,560,4,0.00709219858156028
100.11,2012,Mobile Home,0,0,0,
100.11,2012,Multifamily,157,139,18,0.114649681528662
100.11,2012,Single Family - Detached,775,766,9,0.0116129032258065
100.11,2020,Mobile Home,0,0,0,
100.11,2020,Multifamily,174,172,2,0.0114942528735632
100.11,2020,Single Family - Detached,775,766,9,0.0116129032258065
100.11,2025,Mobile Home,0,0,0,
100.11,2025,Multifamily,192,191,1,0.00520833333333333
100.11,2025,Single Family - Detached,775,766,9,0.0116129032258065
100.11,2030,Mobile Home,0,0,0,
100.11,2030,Multifamily,199,195,4,0.0201005025125628
100.11,2030,Single Family - Detached,775,766,9,0.0116129032258065
100.11,2035,Mobile Home,0,0,0,
100.11,2035,Multifamily,199,189,10,0.050251256281407
100.11,2035,Single Family - Detached,775,766,9,0.0116129032258065
100.11,2040,Mobile Home,0,0,0,
100.11,2040,Multifamily,199,185,14,0.0703517587939698
100.11,2040,Single Family - Detached,775,765,10,0.0129032258064516
100.11,2045,Mobile Home,0,0,0,
100.11,2045,Multifamily,199,181,18,0.0904522613065327
100.11,2045,Single Family - Detached,775,764,11,0.0141935483870968
100.11,2050,Mobile Home,0,0,0,
100.11,2050,Multifamily,199,178,21,0.105527638190955
100.11,2050,Single Family - Detached,775,763,12,0.0154838709677419
100.12,2012,Mobile Home,0,0,0,
100.12,2012,Multifamily,919,907,12,0.0130576713819369
100.12,2012,Single Family - Detached,317,314,3,0.00946372239747634
100.12,2020,Mobile Home,0,0,0,
100.12,2020,Multifamily,919,907,12,0.0130576713819369
100.12,2020,Single Family - Detached,332,329,3,0.00903614457831325
100.12,2025,Mobile Home,0,0,0,
100.12,2025,Multifamily,919,910,9,0.00979325353645267
100.12,2025,Single Family - Detached,332,330,2,0.00602409638554217
100.12,2030,Mobile Home,0,0,0,
100.12,2030,Multifamily,979,970,9,0.00919305413687436
100.12,2030,Single Family - Detached,328,326,2,0.00609756097560976
100.12,2035,Mobile Home,0,0,0,
100.12,2035,Multifamily,992,988,4,0.00403225806451613
