TRACT,YEAR,HOUSING TYPE,POPULATION
1,2012,Group Quarters - College,0
1,2012,Group Quarters - Military,0
1,2012,Group Quarters - Other,0
1,2012,Household,3030
1,2020,Group Quarters - College,0
1,2020,Group Quarters - Military,0
1,2020,Group Quarters - Other,0
1,2020,Household,3007
1,2025,Group Quarters - College,0
1,2025,Group Quarters - Military,0
1,2025,Group Quarters - Other,0
1,2025,Household,3050
1,2030,Group Quarters - College,0
1,2030,Group Quarters - Military,0
1,2030,Group Quarters - Other,0
1,2030,Household,3097
1,2035,Group Quarters - College,0
1,2035,Group Quarters - Military,0
1,2035,Group Quarters - Other,0
1,2035,Household,3089
1,2040,Group Quarters - College,0
1,2040,Group Quarters - Military,0
1,2040,Group Quarters - Other,0
1,2040,Household,3119
1,2045,Group Quarters - College,0
1,2045,Group Quarters - Military,0
1,2045,Group Quarters - Other,0
1,2045,Household,3122
1,2050,Group Quarters - College,0
1,2050,Group Quarters - Military,0
1,2050,Group Quarters - Other,0
1,2050,Household,3199
10,2012,Group Quarters - College,0
10,2012,Group Quarters - Military,0
10,2012,Group Quarters - Other,59
10,2012,Household,4737
10,2020,Group Quarters - College,0
10,2020,Group Quarters - Military,0
10,2020,Group Quarters - Other,44
10,2020,Household,5208
10,2025,Group Quarters - College,6
10,2025,Group Quarters - Military,0
10,2025,Group Quarters - Other,44
10,2025,Household,5240
10,2030,Group Quarters - College,5
10,2030,Group Quarters - Military,0
10,2030,Group Quarters - Other,47
10,2030,Household,5934
10,2035,Group Quarters - College,4
10,2035,Group Quarters - Military,0
10,2035,Group Quarters - Other,50
10,2035,Household,6114
10,2040,Group Quarters - College,2
10,2040,Group Quarters - Military,0
10,2040,Group Quarters - Other,54
10,2040,Household,6476
10,2045,Group Quarters - College,1
10,2045,Group Quarters - Military,0
10,2045,Group Quarters - Other,57
10,2045,Household,6742
10,2050,Group Quarters - College,0
10,2050,Group Quarters - Military,0
10,2050,Group Quarters - Other,60
10,2050,Household,6672
100.01,2012,Group Quarters - College,0
100.01,2012,Group Quarters - Military,0
100.01,2012,Group Quarters - Other,0
100.01,2012,Household,4113
100.01,2020,Group Quarters - College,0
100.01,2020,Group Quarters - Military,0
100.01,2020,Group Quarters - Other,0
100.01,2020,Household,4162
100.01,2025,Group Quarters - College,0
100.01,2025,Group Quarters - Military,0
100.01,2025,Group Quarters - Other,0
100.01,2025,Household,4147
100.01,2030,Group Quarters - College,0
100.01,2030,Group Quarters - Military,0
100.01,2030,Group Quarters - Other,0
100.01,2030,Household,4172
100.01,2035,Group Quarters - College,0
100.01,2035,Group Quarters - Military,0
100.01,2035,Group Quarters - Other,0
100.01,2035,Household,4179
100.01,2040,Group Quarters - College,0
100.01,2040,Group Quarters - Military,0
100.01,2040,Group Quarters - Other,0
100.01,2040,Household,4152
100.01,2045,Group Quarters - College,0
100.01,2045,Group Quarters - Military,0
100.01,2045,Group Quarters - Other,0
100.01,2045,Household,4137
100.01,2050,Group Quarters - College,0
100.01,2050,Group Quarters - Military,0
100.01,2050,Group Quarters - Other,0
100.01,2050,Household,4144
100.03,2012,Group Quarters - College,0
100.03,2012,Group Quarters - Military,0
100.03,2012,Group Quarters - Other,32
100.03,2012,Household,5935
100.03,2020,Group Quarters - College,0
100.03,2020,Group Quarters - Military,0
100.03,2020,Group Quarters - Other,15
100.03,2020,Household,5994
100.03,2025,Group Quarters - College,6
100.03,2025,Group Quarters - Military,0
100.03,2025,Group Quarters - Other,18
100.03,2025,Household,5979
100.03,2030,Group Quarters - College,7
100.03,2030,Group Quarters - Military,0
100.03,2030,Group Quarters - Other,19
100.03,2030,Household,6022
100.03,2035,Group Quarters - College,8
100.03,2035,Group Quarters - Military,0
100.03,2035,Group Quarters - Other,20
100.03,2035,Household,6054
100.03,2040,Group Quarters - College,9
100.03,2040,Group Quarters - Military,0
100.03,2040,Group Quarters - Other,21
100.03,2040,Household,6034
100.03,2045,Group Quarters - College,10
100.03,2045,Group Quarters - Military,0
100.03,2045,Group Quarters - Other,22
100.03,2045,Household,6017
100.03,2050,Group Quarters - College,11
100.03,2050,Group Quarters - Military,0
100.03,2050,Group Quarters - Other,23
100.03,2050,Household,6032
100.04,2012,Group Quarters - College,0
100.04,2012,Group Quarters - Military,0
100.04,2012,Group Quarters - Other,25
100.04,2012,Household,4702
100.04,2020,Group Quarters - College,0
100.04,2020,Group Quarters - Military,0
100.04,2020,Group Quarters - Other,22
100.04,2020,Household,4752
100.04,2025,Group Quarters - College,4
100.04,2025,Group Quarters - Military,0
100.04,2025,Group Quarters - Other,22
100.04,2025,Household,4741
100.04,2030,Group Quarters - College,4
100.04,2030,Group Quarters - Military,0
100.04,2030,Group Quarters - Other,24
100.04,2030,Household,4769
100.04,2035,Group Quarters - College,4
100.04,2035,Group Quarters - Military,0
100.04,2035,Group Quarters - Other,26
100.04,2035,Household,4774
100.04,2040,Group Quarters - College,4
100.04,2040,Group Quarters - Military,0
100.04,2040,Group Quarters - Other,28
100.04,2040,Household,4755
100.04,2045,Group Quarters - College,4
100.04,2045,Group Quarters - Military,0
100.04,2045,Group Quarters - Other,30
100.04,2045,Household,4742
100.04,2050,Group Quarters - College,4
100.04,2050,Group Quarters - Military,0
100.04,2050,Group Quarters - Other,32
100.04,2050,Household,4748
100.05,2012,Group Quarters - College,0
100.05,2012,Group Quarters - Military,0
100.05,2012,Group Quarters - Other,21
100.05,2012,Household,7345
100.05,2020,Group Quarters - College,0
100.05,2020,Group Quarters - Military,0
100.05,2020,Group Quarters - Other,16
100.05,2020,Household,7853
100.05,2025,Group Quarters - College,4
100.05,2025,Group Quarters - Military,0
100.05,2025,Group Quarters - Other,16
100.05,2025,Household,8452
100.05,2030,Group Quarters - College,4
100.05,2030,Group Quarters - Military,0
100.05,2030,Group Quarters - Other,18
100.05,2030,Household,9227
100.05,2035,Group Quarters - College,4
100.05,2035,Group Quarters - Military,0
100.05,2035,Group Quarters - Other,20
100.05,2035,Household,9233
100.05,2040,Group Quarters - College,4
100.05,2040,Group Quarters - Military,0
100.05,2040,Group Quarters - Other,22
100.05,2040,Household,9241
100.05,2045,Group Quarters - College,4
100.05,2045,Group Quarters - Military,0
100.05,2045,Group Quarters - Other,24
100.05,2045,Household,9212
100.05,2050,Group Quarters - College,4
100.05,2050,Group Quarters - Military,0
100.05,2050,Group Quarters - Other,26
100.05,2050,Household,9216
100.09,2012,Group Quarters - College,0
100.09,2012,Group Quarters - Military,0
100.09,2012,Group Quarters - Other,0
100.09,2012,Household,6748
100.09,2020,Group Quarters - College,0
100.09,2020,Group Quarters - Military,0
100.09,2020,Group Quarters - Other,0
